,Make,Model,Variant,Ex-Showroom_Price,Displacement,Fuel_Type,Body_Type,City_Mileage,Highway_Mileage,Electric_Range,Launch Month,Emission_Norm,Airbags,Type,Gross_Vehicle_Weight,Electric_Range,Battery,Power,Torque
105,Tata,Bolt,Xe Diesel,"Rs. 6,61,111",1248 cc,Diesel,Hatchback,"22,95 km/litre",,,January,BS IV,,Manual,1160 kg,,,75PS@4000rpm,190Nm@1750-3000rpm
106,Tata,Bolt,Xm Diesel,"Rs. 6,93,798",1248 cc,Diesel,Hatchback,"22,95 km/litre",,,January,BS IV,,Manual,1160 kg,,,75PS@4000rpm,190Nm@1750-3000rpm
107,Tata,Bolt,Xms Diesel,"Rs. 7,19,661",1248 cc,Diesel,Hatchback,"22,95 km/litre",,,January,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,1160 kg,,,75PS@4000rpm,190Nm@1750-3000rpm
108,Tata,Bolt,Xt Petrol,"Rs. 6,74,960",1193 cc,Petrol,Hatchback,"17,57 km/litre",,,January,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,1125 kg,,,90PS@5000rpm,140Nm@1500-4000rpm
109,Tata,Bolt,Xe Petrol,"Rs. 5,29,035",1193 cc,Petrol,Hatchback,"17,57 km/litre",,,January,BS IV,,Manual,1125 kg,,,90PS@5000rpm,140Nm@1500-4000rpm
110,Tata,Bolt,Xm Petrol,"Rs. 5,90,268",1193 cc,Petrol,Hatchback,"17,57 km/litre",,,January,BS IV,,Manual,1125 kg,,,90PS@5000rpm,140Nm@1500-4000rpm
111,Tata,Bolt,Xms Petrol,"Rs. 6,14,515",1193 cc,Petrol,Hatchback,"17,57 km/litre",,,January,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,1125 kg,,,90PS@5000rpm,140Nm@1500-4000rpm
112,Hyundai,Xcent Prime,Cng T + (Cng +,"Rs. 5,56,130",1197 cc,CNG + Petrol,Sedan,,,,March,BS IV,,Manual,1530 kg,,,83PS@6000rpm,114Nm@6000rpm
113,Hyundai,Xcent Prime,T,"Rs. 5,36,859",1197 cc,Petrol,Sedan,,,,March,BS IV,,Manual,1530 kg,,,83PS@6000rpm,114Nm@6000rpm
114,Hyundai,Xcent Prime,T+,"Rs. 5,56,130",1197 cc,Petrol,Sedan,,15.7 km/litre,,March,BS IV,,Manual,1530 kg,,,83PS@6000rpm,114Nm@6000rpm
115,Hyundai,Xcent Prime,Cng T (Cng +,"Rs. 5,36,859",1197 cc,CNG + Petrol,Sedan,,,,March,BS IV,,Manual,1530 kg,,,81.8bhp@6000rpm,114Nm@6000rpm
116,Hyundai,Xcent Prime,T+ Crdi,"Rs. 6,39,616",1197 cc,Diesel,Sedan,,,,March,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,1530 kg,,,70bhp@4000RPM,114Nm@6000rpm
117,Hyundai,Xcent Prime,T Crdi,"Rs. 6,20,297",1197 cc,Diesel,Sedan,,,,March,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,1530 kg,,,71PS@4000rpm,114Nm@6000rpm
118,Maruti Suzuki,Dzire Tour,Ldi,"Rs. 6,53,523",1248 cc,Diesel,Sedan,14.6 km/litre,19.8 km/litre,,January,BS IV,,Manual,1505 kg,,,75PS@4000rpm,190Nm@2000rpm
119,Maruti Suzuki,Dzire Tour,Lxi,"Rs. 5,53,423",1197 cc,Petrol,Sedan,16.3 km/litre,19.1 km/litre,,January,BS IV,,Manual,1415 kg,,,83PS@6000rpm,115Nm@4000rpm
120,Maruti Suzuki,Dzire Tour,Lxi Cng,"Rs. 5,98,940",1197 cc,CNG,Sedan,,,,January,BS IV,,Manual,1415 kg,,,69bhp@6000rpm,115Nm@4000rpm
121,Hyundai,Elite I20,Era 1.2,"Rs. 5,59,693",1197 cc,Petrol,Hatchback,13.3 km/litre,18.6 km/litre,,November,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,1170 kg,,,84PS@6000rpm,115Nm@4000rpm
122,Hyundai,Elite I20,Era 1.4 Crdi,"Rs. 6,97,803",1396 cc,Diesel,Hatchback,18.4 km/litre,22.54 km/litre,,November,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,1170 kg,,,90PS@4000rpm,220Nm@1500rpm
123,Hyundai,Elite I20,Magna Plus,"Rs. 6,34,950",1197 cc,Petrol,Hatchback,13.3 km/litre,18.5 km/litre,,November,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,1170 kg,,,84PS@6000rpm,115Nm@4000rpm
124,Hyundai,Elite I20,Magna Plus Crdi,"Rs. 7,70,803",1396 cc,Diesel,Hatchback,18.4 km/litre,22.54 km/litre,,November,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,1170 kg,,,90PS@4000rpm,220Nm@1500rpm
125,Hyundai,Elite I20,Sportz Plus,"Rs. 7,21,693",1197 cc,Petrol,Hatchback,13.3 km/litre,18.5 km/litre,,November,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,1170 kg,,,84PS@6000rpm,115Nm@4000rpm
